
=== offbook — tag O1 (seed 0) ===
arms ['never', 'key_frozen', 'audit_all', 'audit_prop_k', 'route_native', 'fid'] · n_cycles 120 (reactive cap 90) · commits seg [20, 26, 32] chain [35, 38, 41] · lib_add 24 · n_slot 8 · k_prop 2 · delib_budget 0.0 · aud_horizon 0
COMMON HORIZON c57 (spans every arm)   ·   COMPLETED-ARM HORIZON c120
  PARTIAL ARMS: never (died c57, complete=False), fid (died c69, complete=False)
  The app received an EXTERNAL CANCELLATION at 02:12 UTC (clean cancel signal in the
  modal-client log — not a timeout and not preemption; cause unknown, recorded as such).
  So: any claim involving a partial arm is read at c57 and flagged; every
  within-committed claim is read at c120, where all four completed arms share a
  schedule and are unaffected by another arm dying.
references (shared): stale 0.1215 · ceiling 0.0415 · reactive 0.0094 · usable range 0.0800

-- headline at c57 — EVERY arm, incl. the two the cancellation truncated --
  arm               e_perf                 by segment   fb/pc   t_priced     plans         delib         aud    guard
  never             0.0085     [0.0079 0.0155 0.0009]    61.0    31108.3    246240   33956167680           0  0.07745
  key_frozen        0.4332     [0.0672 0.2875 0.9021]     2.5    15695.2     86400   11914444800           0  0.07044
  audit_all         0.0653     [0.0201 0.1096 0.0786]     3.9    15911.8     94275   13224534300      698427  0.06967
  audit_prop_k      0.0492     [0.0224 0.0689 0.0542]     4.0    15917.1     94328   13217840220      191198  0.06215
  route_native      0.0529     [0.0221 0.0756 0.0494]     4.0    15917.0     94327   13218009380      204116  0.06789
  fid               0.0653     [0.0201 0.1096 0.0786]     3.9    15911.8     94275   13224534300      698427  0.06967
  rank on e_perf: never(0.0085) < audit_prop_k(0.0492) < route_native(0.0529) < audit_all(0.0653) < fid(0.0653) < key_frozen(0.4332)

-- headline at c120 — the four arms that completed; within-committed claims live here --
  arm               e_perf                 by segment   fb/pc   t_priced     plans         delib         aud    guard
  key_frozen        0.4203     [0.0773 0.2622 0.8950]     2.7    23573.3     86400   11914444800           0  0.06059
  audit_all         0.0576     [0.0238 0.0854 0.0591]     3.9    24396.6    107454   15436194840     2344638  0.05762
  audit_prop_k      0.0460     [0.0165 0.0724 0.0470]     4.0    24442.8    107916   15450442720      499685  0.05906
  route_native      0.0540     [0.0204 0.0631 0.0630]     4.0    24441.8    107906   15452156200      661748  0.06322
  rank on e_perf: audit_prop_k(0.0460) < route_native(0.0540) < audit_all(0.0576) < key_frozen(0.4203)

-- in-tag fidelity twins (the assertion, not a hope) --
  fid             vs audit_all    max|Δ| over 120 probe values (through c69) = 0.000e+00   PASS
    (fid was truncated at c69; the assertion holds over the 120 probe values it reached, not over the full run)
  audit_prop_kN vs audit_all: one side absent, twin not asserted

-- what the routing actually chose (final performance configuration) --
  arm               chain    tape    head    prim  cand/dec  aud/piece   poison
  never           —  (no library by construction: reactive throughout)
  key_frozen        0.512   1.000   0.000   0.000       1.0          0    0.025
  audit_all         0.021   0.312   0.000   0.688     124.7      17589    0.000
  audit_prop_k      0.000   0.236   0.000   0.764      22.3       3215    0.000
  route_native      0.000   0.181   0.000   0.819      22.9       3292    0.000
  fid             —  (truncated at c69 before the summary block was written)
     (frac_chain = decisions that committed a unit spanning >1 segment — the readout legato
      F4's crossover predicts should be non-zero only where the unit exceeds the horizon;
      frac_head = Port 2 serving; cand/dec = the O(K)→O(k) ladder, measured)

-- THE RENT, and what it would be at a different library size --
  Gate G-K measured competence FLAT past K≈16 (ns=1) and DEGRADING past K=64 (ns=3), so a
  library far beyond that plateau would manufacture the routing arm's advantage: rent no
  competent agent needed to pay. K is therefore set AT the plateau. Note what this table
  shows: the RATIO is a property of the slot partition (n_slot ÷ k_prop), not of K — the
  absolute price scales with the library, the cut does not.
  arm              aud/piece       K=16       K=64      K=288
  key_frozen               0          0          0          0
  audit_all            17589       3518      14071      63320
  audit_prop_k          3215        643       2572      11574
  route_native          3292        658       2634      11851
     (linear in K within a cell, which is exact for this design — every cell is grown by the
      same `lib_add`. Measured K/cell = 80.)

-- PORT 1: trust formation (π's per-level proposal mass over cycles) --
  audit_prop_k:
     cycle     seg   chain    prim  poison    top1       H
         3   0.000   0.000   1.000   0.000   1.000   0.000
         6   0.000   0.000   1.000   0.000   1.000   0.000
         9   0.000   0.000   1.000   0.000   1.000   0.000
        12   0.000   0.000   1.000   0.000   1.000   0.000
        15   0.000   0.000   1.000   0.000   1.000   0.000
        18   0.000   0.000   1.000   0.000   1.000   0.000
        21   0.319   0.000   0.680   0.001   0.695   0.815
        24   0.208   0.000   0.792   0.000   0.840   0.453
        27   0.259   0.000   0.741   0.000   0.804   0.520
        30   0.224   0.000   0.776   0.000   0.835   0.443
        33   0.187   0.000   0.813   0.000   0.851   0.391
        36   0.197   0.000   0.802   0.001   0.853   0.377
        39   0.204   0.001   0.793   0.002   0.857   0.366
        42   0.143   0.002   0.854   0.001   0.899   0.278
        45   0.179   0.005   0.815   0.002   0.880   0.333
        48   0.165   0.003   0.831   0.001   0.875   0.344
        51   0.181   0.004   0.815   0.001   0.871   0.344
        54   0.182   0.003   0.814   0.001   0.875   0.336
        57   0.176   0.002   0.821   0.001   0.890   0.295
        60   0.190   0.006   0.803   0.001   0.881   0.309
        63   0.182   0.002   0.816   0.000   0.872   0.332
        66   0.246   0.001   0.753   0.001   0.879   0.309
        69   0.224   0.001   0.775   0.000   0.872   0.313
        72   0.192   0.001   0.806   0.000   0.871   0.313
        75   0.201   0.001   0.798   0.000   0.883   0.294
        78   0.233   0.006   0.760   0.001   0.876   0.314
        81   0.182   0.001   0.817   0.001   0.880   0.300
        84   0.243   0.001   0.757   0.000   0.867   0.322
        87   0.234   0.001   0.763   0.002   0.875   0.318
        90   0.163   0.005   0.831   0.001   0.903   0.261
        93   0.200   0.001   0.798   0.000   0.887   0.287
        96   0.216   0.001   0.782   0.000   0.894   0.271
        99   0.212   0.001   0.786   0.000   0.896   0.262
       102   0.209   0.001   0.790   0.000   0.876   0.307
       105   0.237   0.003   0.759   0.002   0.875   0.294
       108   0.169   0.002   0.829   0.000   0.877   0.293
       111   0.226   0.001   0.772   0.000   0.886   0.292
       114   0.230   0.004   0.766   0.000   0.875   0.298
       117   0.210   0.000   0.789   0.000   0.899   0.259
       120   0.224   0.000   0.776   0.000   0.884   0.284
  route_native:
     cycle     seg   chain    prim  poison    top1       H
         3   0.000   0.000   1.000   0.000   1.000   0.000
         6   0.000   0.000   1.000   0.000   1.000   0.000
         9   0.000   0.000   1.000   0.000   1.000   0.000
        12   0.000   0.000   1.000   0.000   1.000   0.000
        15   0.000   0.000   1.000   0.000   1.000   0.000
        18   0.000   0.000   1.000   0.000   1.000   0.000
        21   0.319   0.000   0.680   0.001   0.695   0.815
        24   0.206   0.000   0.794   0.000   0.819   0.495
        27   0.194   0.000   0.806   0.000   0.831   0.462
        30   0.182   0.000   0.818   0.000   0.830   0.479
        33   0.158   0.000   0.842   0.000   0.843   0.428
        36   0.158   0.000   0.842   0.000   0.848   0.437
        39   0.163   0.008   0.829   0.000   0.850   0.443
        42   0.134   0.003   0.863   0.000   0.873   0.403
        45   0.136   0.003   0.861   0.000   0.880   0.355
        48   0.114   0.005   0.881   0.000   0.891   0.321
        51   0.092   0.008   0.900   0.000   0.909   0.274
        54   0.124   0.002   0.874   0.000   0.887   0.318
        57   0.126   0.004   0.869   0.000   0.879   0.345
        60   0.108   0.003   0.889   0.000   0.907   0.265
        63   0.149   0.006   0.845   0.000   0.879   0.311
        66   0.160   0.010   0.830   0.000   0.875   0.320
        69   0.138   0.001   0.861   0.000   0.886   0.296
        72   0.191   0.002   0.806   0.000   0.882   0.284
        75   0.151   0.003   0.846   0.000   0.884   0.299
        78   0.203   0.004   0.794   0.000   0.850   0.356
        81   0.151   0.001   0.848   0.001   0.898   0.267
        84   0.186   0.001   0.813   0.000   0.865   0.317
        87   0.206   0.001   0.792   0.000   0.853   0.349
        90   0.173   0.006   0.820   0.001   0.866   0.333
        93   0.176   0.002   0.822   0.000   0.877   0.305
        96   0.192   0.000   0.808   0.000   0.877   0.304
        99   0.222   0.002   0.776   0.001   0.869   0.310
       102   0.169   0.002   0.826   0.003   0.877   0.306
