====================================================================================================
[voicing] vo_s3d2 — reduction
====================================================================================================
  arms   : voi3_dp
  banked : en_s9:endo_ledger_open_ung5_ra

====================================================================================================
[A] LIFETIMES, COMMITS, AND THE IN-TAG IDENTITY CHECK
====================================================================================================
    arm                       cyc  commits (level@cycle)                 s/cycle
    voi3_dp                   201  L2@c59, L3@c77, L4@c157             
    en_s9:endo_ledger_open_ung5_ra  201  L2@c48, L3@c100, L4@c151, L5@c186      (banked)

    IDENTITY CHECK — voi3_dp against EVERY banked anchor. The anchor names no
    consumer knob, so it must be the banked arm to the bit; anything else means the
    record or an instrument is not inert.
      vs en_s9:endo_ledger_open_ung5_ra:  MAX|delta| OVER ALL SERIES = 2.352e+05   commits equal: False
        e=4.219e-01  succ=4.219e-01  dres=2.000e+00  n_solved=3.670e+02  n_mined=6.000e+00  n_moves=1.600e+01  width=1.500e+01  e_practice=3.594e-01  vloss=3.364e-01  gloss=1.402e+00  t_cum=2.352e+05  g_per_solve=2.500e+01  m_per_solve=1.200e+01
        commits: [(2, 59), (3, 77), (4, 157)]  vs  [(2, 48), (3, 100), (4, 151), (5, 186)]

====================================================================================================
[B] THE CORRIDOR — slots open, parity, misfire, and when it closed
====================================================================================================
    `n_open` is slots past the firing gate; `misfire` is fired rows whose span did not
    match `dp_features` exactly. An arm whose corridor closes stops executing with the
    head and falls back to the DP on every macro call.

    arm                    open@max  open@last  first c with open=0 after a peak   misfire(all)  misfire(era>=3)
    voi3_dp                      28         28  None                             0.0648        0.0619

    n_open per 10 cycles (the corridor's whole life):
      voi3_dp                  0   0   0   0   0   0   0  16  16  24  24  24  24  24  24  24  26  28  28  28  28
      cycle                    1  11  21  31  41  51  61  71  81  91 101 111 121 131 141 151 161 171 181 191 201

====================================================================================================
[C] THE SAMPLER, REALISED — deviation and on-table projection
====================================================================================================
    `dev`  the sampled entry left the on-table argmax (the quantity the temperature is
           set on; `DESIGN.md` §17 predicted this would fall below the preflight's
           0.44-0.67 because a sharper plant deviates less at fixed T).
    `ont`  the on-table argmax was not the head's FREE-RUN emission — the projection
           component that rides with the write axis (`DESIGN.md` §11).

    voi3_dp: argmax arm — never sampled.
====================================================================================================
[D] WHAT THE CHOOSER WROTE — Q0 §5's table, live, on the EXECUTED population
====================================================================================================
    Filed writes only (kept by the beam and on a graded tip). `rows` is the operative
    table's size, `dist` distinct tuples written, `keys` distinct class-pair keys,
    `tok` distinct token classes, `top1` the share of the era's filed writes on one
    tuple. Q0's banked numbers at the same nodes: L4 2.6-3.6 of 155-187 rows, top1
    0.91-0.94; L5 1.5-1.6 of 144-152, top1 0.80-0.93 (the FIRED population).

    voi3_dp:
      era  cell      n_filed  rows   dist/cyc  keys/cyc  tok/cyc   top1(w)
        1  2n0         413    13      8.00     8.00    7.00     0.286
        1  2n1         317    13      7.00     7.00    6.00     0.315
        1  2n2         349    13      5.00     5.00    5.00     0.476
        1  2n3         268    13      6.00     6.00    4.00     0.560
        1  2n4         246    13      8.00     8.00    6.00     0.585
        1  2n5         300    13      5.00     5.00    3.00     0.510
        1  2n6         449    13      5.00     5.00    4.00     0.550
        1  2n7         408    13      7.00     7.00    4.00     0.284
        1  2n8         386    13      6.00     6.00    6.00     0.479
        1  2n9         581    13      7.00     7.00    6.00     0.530
        1  2n10        381    13      5.00     5.00    5.00     0.415
        1  2n11        460    13      6.00     6.00    6.00     0.396
        1  2n12        413    13      6.00     6.00    5.00     0.496
        1  2n13        525    13      6.00     6.00    4.00     0.541
        1  2n14        360    13      6.00     6.00    5.00     0.778
        1  2n15        421    13      8.00     8.00    6.00     0.363
        2  2n0        5266    15      6.22     6.22    5.90     0.425
        2  2n1        4647    15      5.06     5.06    4.72     0.514
        2  2n2        4463    15      5.04     5.04    4.48     0.479
        2  2n3        4198    15      5.30     5.30    4.00     0.417
        2  2n4        3442    15      4.96     4.96    4.56     0.513
        2  2n5        4957    15      4.60     4.60    3.96     0.472
        2  2n6        5144    15      4.24     4.24    4.16     0.538
        2  2n7        5350    15      5.14     5.14    4.22     0.457
        2  2n8        4130    15      5.26     5.26    4.80     0.458
        2  2n9        4493    15      5.26     5.26    4.78     0.435
        2  2n10       4051    15      5.50     5.50    4.90     0.416
        2  2n11       4590    15      5.22     5.22    4.20     0.450
        2  2n12      10148    15      5.72     5.72    5.14     0.420
        2  2n13       6484    15      4.04     4.04    3.68     0.580
        2  2n14       5030    15      4.54     4.54    4.42     0.503
        2  2n15       4868    15      5.02     5.02    3.96     0.461
        2  3n0        4134    61      3.00     2.79    2.79     0.713
        2  3n1        4477    61      4.36     3.61    3.03     0.478
        2  3n2        4079    61      3.18     3.06    2.82     0.652
        2  3n3        5081    61      4.15     3.97    3.61     0.505
        2  3n4        3523    61      2.85     2.64    2.55     0.716
        2  3n5        3393    61      4.27     3.52    3.00     0.529
        2  3n6        6333    61      4.42     3.55    3.21     0.594
        2  3n7        4034    61      3.52     2.79    2.79     0.562
        3  2n0        5473    17      5.66     5.66    5.21     0.419
        3  2n1        5095    17      5.57     5.57    5.16     0.424
        3  2n2        5578    17      5.33     5.33    4.79     0.439
        3  2n3        5383    17      5.87     5.87    4.29     0.362
        3  2n4        3811    17      5.76     5.76    5.20     0.433
        3  2n5        5989    17      4.90     4.90    4.01     0.469
        3  2n6        5548    17      5.21     5.21    4.86     0.487
        3  2n7        5976    17      4.90     4.90    3.97     0.502
        3  2n8        4933    17      5.60     5.60    5.33     0.415
